"","Title","Authors","Abstract","Published.Year","Published.Month","Journal","Volume","Issue","Pages","Accession.Number","DOI","Ref","Covidence..","Study","Notes","Tags","is_nct"
"57","Safety and Immunogenicity of the Ad26.RSV.preF Investigational Vaccine Coadministered With an Influenza Vaccine in Older Adults","Sadoff, J.; De Paepe, E.; Haazen, W.; Omoruyi, E.; Bastian, A. R.; Comeaux, C.; Heijnen, E.; Strout, C.; Schuitemaker, H.; Callendret, B.","BACKGROUND: Respiratory syncytial virus (RSV) and influenza cause significant disease burden in older adults. Overlapping RSV and influenza seasonality presents the opportunity to coadminister vaccines for both infections. This study assessed coadministration of the investigational vaccine, Ad26.RSV.preF, an adenovirus serotype 26 (Ad26) vector encoding RSV F protein stabilized in its prefusion conformation (pre-F), with a seasonal influenza vaccine in older adults. METHODS: In this phase 2a, double-blind, placebo-controlled study, 180 adults aged â‰¥60 years received Ad26.RSV.preF plus Fluarix on day 1 and placebo on day 29, or placebo plus Fluarix on day 1 and Ad26.RSV.preF on day 29 (control). RESULTS: The coadministration regimen had an acceptable tolerability profile. Reactogenicity was generally higher after Ad26.RSV.preF versus Fluarix, but symptoms were generally transient and mild or moderate. At 28 days after the first vaccination, the upper confidence intervals of the hemagglutination inhibition antibody geometric mean ratio (control/coadministration) for all influenza strains were <2, demonstrating noninferiority. Robust neutralizing and binding antibody responses to RSV A2 were observed in both groups. CONCLUSIONS: Coadministration of Fluarix with Ad26.RSV.preF vaccine had an acceptable safety profile and showed no evidence of interference in immune response. The results are compatible with simultaneous seasonal vaccination with both vaccines. CLINICAL TRIALS REGISTRATION: NCT03339713.",2021,"Feb-24","J Infect Dis",223,"4","699-708",32851411,"10.1093/infdis/jiaa409",NA,"#1087","Sadoff 2021","","Janssen; NCT number; Possible RCT; immunogenicity; older adults; product not taken forward to phase 3; viral vector;4_older_adults_immunogenicity",TRUE
"58","Safety and Immunogenicity of a ChAd155-Vectored Respiratory Syncytial Virus Vaccine in Infants 6-7 Months of age: A Phase 1/2 Randomized Trial","SÃ¡ez-Llorens, X.; Norero, X.; Mussi-Pinhata, M. M.; Luciani, K.; de la Cueva, I. S.; DÃ­ez-Domingo, J.; Lopez-Medina, E.; Epalza, C.; Brzostek, J.; SzymaÅ„ski, H.; Boucher, F. D.; Cetin, B. S.; De Leon, T.; Dinleyici, E. C.; Gabriel MÃ, M.; Ince, T.; Macias-Parra, M.; Langley, J. M.; MartinÃ³n-Torres, F.; RÃ¤met, M.; Kuchar, E.; Pinto, J.; Puthanakit, T.; Baquero-Artigao, F.; Gattinara, G. C.; Arribas, J. M. M.; Ramos Amador, J. T.; Szenborn, L.; Tapiero, B.; Anderson, E. J.; Campbell, J. D.; Faust, S. N.; Nikic, V.; Zhou, Y.; Pu, W.; Friel, D.; Dieussaert, I.; Lopez, A. G.; McPhee, R.; Stoszek, S. K.; Vanhoutte, N.","BACKGROUND: Respiratory syncytial virus (RSV) is a common cause of lower respiratory tract infections in infants. This phase 1/2, observer-blind, randomized, controlled study assessed the safety and immunogenicity of an investigational chimpanzee-derived adenoviral vector RSV vaccine (ChAd155-RSV, expressing RSV F, N, and M2-1) in infants. METHODS: Healthy 6- to 7-month-olds were 1:1:1-randomized to receive 1 low ChAd155-RSV dose (1.5 Ã— 1010 viral particles) followed by placebo (RSV_1D); 2 high ChAd155-RSV doses (5 Ã— 1010 viral particles) (RSV_2D); or active comparator vaccines/placebo (comparator) on days 1 and 31. Follow-up lasted approximately 2 years. RESULTS: Two hundred one infants were vaccinated (RSV_1D: 65; RSV_2D: 71; comparator: 65); 159 were RSV-seronaive at baseline. Most solicited and unsolicited adverse events after ChAd155-RSV occurred at similar or lower rates than after active comparators. In infants who developed RSV infection, there was no evidence of vaccine-associated enhanced respiratory disease (VAERD). RSV-A neutralizing titers and RSV F-binding antibody concentrations were higher post-ChAd155-RSV than postcomparator at days 31, 61, and end of RSV season 1 (mean follow-up, 7 months). High-dose ChAd155-RSV induced stronger responses than low-dose, with further increases post-dose 2. CONCLUSIONS: ChAd155-RSV administered to 6- to 7-month-olds had a reactogenicity/safety profile like other childhood vaccines, showed no evidence of VAERD, and induced a humoral immune response. Clinical Trials Registration.â€ƒNCT03636906.",2024,"Jan-12","J Infect Dis",229,"1","95-107",37477875,"10.1093/infdis/jiad271",NA,"#1091","SÃ¡ez-Llorens 2024","","GSK; NCT number; Possible RCT; immunogenicity; product not taken forward to phase 3; viral vector; â‰¤1 year",TRUE
"59","Vaccine Efficacy in Adults in a Respiratory Syncytial Virus Challenge Study","Schmoele-Thoma, B.; Zareba, A. M.; Jiang, Q.; Maddur, M. S.; Danaf, R.; Mann, A.; Eze, K.; Fok-Seang, J.; Kabir, G.; Catchpole, A.; Scott, D. A.; Gurtman, A. C.; Jansen, K. U.; Gruber, W. C.; Dormitzer, P. R.; Swanson, K. A.","BACKGROUND: Although human respiratory syncytial virus (RSV) is an important cause of illness and death in older adults, no RSV vaccine has been licensed. METHODS: In a phase 2a study, we randomly assigned healthy adults (18 to 50 years of age), in a 1:1 ratio, to receive a single intramuscular injection of either bivalent prefusion F (RSVpreF) vaccine or placebo. Approximately 28 days after injection, participants were inoculated intranasally with the RSV A Memphis 37b challenge virus and observed for 12 days. The per-protocol prespecified primary end points were the following: reverse-transcriptase-quantitative polymerase-chain-reaction (RT-qPCR)-confirmed detectable RSV infection on at least 2 consecutive days with at least one clinical symptom of any grade from two categories or at least one grade 2 symptom from any category, the total symptom score from day 1 to discharge, and the area under the curve (AUC) for the RSV viral load in nasal-wash samples measured by means of RT-qPCR from day 2 after challenge to discharge. In addition, we assessed immunogenicity and safety. RESULTS: After participants were inoculated with the challenge virus, vaccine efficacy of 86.7% (95% CI, 53.8 to 96.5) was observed for symptomatic RSV infection confirmed by any detectable viral RNA on at least 2 consecutive days. The median AUC for the RSV viral load (hoursâ€‰Ã—â€‰log(10) copies per milliliter) as measured by RT-qPCR assay was 0.0 (interquartile range, 0.0 to 19.0) in the vaccine group and 96.7 (interquartile range, 0.0 to 675.3) in the placebo group. The geometric mean factor increase from baseline in RSV A-neutralizing titers 28 days after injection was 20.5 (95% CI, 16.6 to 25.3) in the vaccine group and 1.1 (95% CI, 0.9 to 1.3) in the placebo group. More local injection-site pain was noted in the vaccine group than in the placebo group. No serious adverse events were observed in either group. CONCLUSIONS: RSVpreF vaccine was effective against symptomatic RSV infection and viral shedding. No evident safety concerns were identified. These findings provide support for further evaluation of RSVpreF vaccine in a phase 3 efficacy study. (Funded by Pfizer; EudraCT number, 2020-003887-21; ClinicalTrials.gov number, NCT04785612.).",2022,"Jun-23","N Engl J Med",386,"25","2377-2386",35731653,"10.1056/NEJMoa2116154",NA,"#1129","Schmoele-Thoma 2022","Ainslie Hie (2025-01-20 16:57:45)(Included): extracted; Ainslie Hie (2025-01-20 16:57:43)(Included): extracted; Ainslie Hie (2025-01-20 16:57:26)(Included): extracted; ","NCT number; Pfizer; Possible RCT; efficacy/effectiveness; formulation taken forward to phase 3; general adults; immunogenicity; product taken forward to phase 3; protein subunit;3_general_adults_immunogenicity;3_general_adults_efficacy",TRUE
"60","Three Dose Levels of a Maternal Respiratory Syncytial Virus Vaccine Candidate Are Well Tolerated and Immunogenic in a Randomized Trial in Nonpregnant Women","Schwarz, T. F.; Johnson, C.; Grigat, C.; Apter, D.; Csonka, P.; Lindblad, N.; Nguyen, T. L.; Gao, F. F.; Qian, H.; Tullio, A. N.; Dieussaert, I.; Picciolato, M.; Henry, O.","BACKGROUND: Respiratory syncytial virus (RSV) causes respiratory tract infections, which may require hospitalization especially in early infancy. Transplacental transfer of RSV antibodies could confer protection to infants in their first months of life. METHODS: In this first-in-human, placebo-controlled study, 502 healthy nonpregnant women were randomized 1:1:1:1 to receive a single dose of unadjuvanted vaccine containing 30/60/120 Âµg of RSV fusion (F) protein stabilized in the prefusion conformation (RSVPreF3) or placebo. RESULTS: Solicited local adverse events (AEs) were more frequently reported in the RSVPreF3 groups (4%-53.2%) versus placebo (0%-15.9%); most were mild/moderate. Unsolicited AEs were comparably reported among groups. Three serious AEs were reported; none was vaccination-related. Compared with prevaccination values, anti-RSV A neutralizing antibody geometric mean titers and anti-RSVPreF3 immunoglobulin G geometric mean concentrations increased 8- to 14-fold and 12- to 21-fold at day 8 and persisted 5- to 6-fold and 6- to 8-fold higher until day 91 in the RSVPreF3 groups versus 1-fold in placebo. Comparisons at day 8 and day 31 showed that the higher dose levels were significantly more immunogenic than the lowest one. CONCLUSIONS: The RSVPreF3 vaccine was well tolerated and immunogenic. The 60 and 120 Âµg dose levels were selected for further investigation in pregnant women. CLINICAL TRIALS REGISTRATION: NCT03674177.",2022,"Jun-15","J Infect Dis",225,"12","2067-2076",34146100,"10.1093/infdis/jiab317",NA,"#1134","Schwarz 2022","Ainslie Hie (2025-02-24 16:56:00)(Included): extracted; ","GSK; NCT number; RCT; females only; formulation taken forward to phase 3; general adults; immunogenicity; product taken forward to phase 3; protein subunit;3_general_adults_immunogenicity",TRUE
"61","Immunogenicity and Safety of 3 Formulations of a Respiratory Syncytial Virus Candidate Vaccine in Nonpregnant Women: A Phase 2, Randomized Trial","Schwarz, T. F.; McPhee, R. A.; Launay, O.; Leroux-Roels, G.; Talli, J.; Picciolato, M.; Gao, F.; Cai, R.; Nguyen, T. L.; Dieussaert, I.; Miller, J. M.; Schmidt, A. C.","BACKGROUND: Respiratory syncytial virus (RSV) is a common cause of respiratory tract illness and hospitalization in neonates and infants. RSV vaccination during pregnancy may protect offspring in their first months of life. METHODS: This randomized, observer-blind, multicenter, phase 2 study evaluated the immunogenicity and safety of an RSV candidate vaccine in healthy nonpregnant women aged 18-45 years. Four hundred participants were randomized (1:1:1:1) to receive a single intramuscular dose of vaccine containing 30 Âµg, 60 Âµg, or 120 Âµg of RSV fusion protein engineered to preferentially maintain a prefusion conformation (RSV-PreF vaccine) or placebo. RESULTS: Thirty days postvaccination, RSV-A neutralizing antibody geometric mean titers (GMTs) increased 3.75-, 4.42- and 4.36-fold; RSV-B neutralizing antibody GMTs 2.36-, 2.54- and 2.76-fold; and palivizumab competing antibody (PCA) concentrations 11.69-, 14.38- and 14.24-fold compared with baseline levels in the 30 Âµg, 60 Âµg, and 120 Âµg RSV-PreF groups, respectively. Antibody titers and PCA concentrations at day 30 were significantly higher with the 120 Âµg compared to the 30 Âµg RSV-PreF vaccine. All RSV-PreF vaccine formulations and the placebo had similar reactogenicity profiles. No serious adverse events were considered to be related to the RSV-PreF vaccine. CONCLUSIONS: The 3 formulations of the investigational RSV-PreF vaccine were well-tolerated and induced RSV-A and RSV-B neutralizing antibodies and PCAs in healthy, nonpregnant women. CLINICAL TRIALS REGISTRATION: NCT02956837.",2019,"Oct-22","J Infect Dis",220,"11","1816-1825",31418022,"10.1093/infdis/jiz395",NA,"#1135","Schwarz 2019","Ainslie Hie (2025-02-13 17:10:39)(Included): This paper is not a priority for extraction as there's no efficacy data for this vaccine. Therefore, data was not extracted. It is not the RSV-PreF3 vaccine.; ","GSK; NCT number; RCT; females only; general adults; immunogenicity; product not taken forward to phase 3; protein subunit;3_general_adults_immunogenicity",TRUE
"62","Safety and Immunogenicity of an mRNA-Based RSV Vaccine Including a 12-Month Booster in a Phase I Clinical Trial in Healthy Older Adults","Shaw, C. A.; Essink, B.; Harper, C.; Mithani, R.; Kapoor, A.; Dhar, R.; Wilson, L.; Guo, R.; Panozzo, C. A.; Wilson, E.; Simorellis, A. K.; Reuter, C.; Stoszek, S. K.; Chen, G. L.; Das, R.; Goswami, J.","BACKGROUND: An mRNA-based RSV vaccine, mRNA-1345, is under clinical investigation to address RSV disease burden in older adults. METHODS: This phase 1, randomized, observer-blind, placebo-controlled, dose-ranging study evaluated safety, reactogenicity, and immunogenicity of mRNA-1345 in adults 65-79 years (NCT04528719). Participants were randomized to receive 1-dose of mRNA-1345 (12.5, 25, 50, 100, or 200-Âµg) or placebo and matched mRNA-1345 booster or placebo at 12-months. RESULTS: Overall, 298 participants received the first injection; 247 received the 12-month booster injection. mRNA-1345 was generally well-tolerated after both injections, with the most frequently reported solicited adverse reactions being injection-site pain, fatigue, headache, arthralgia, and myalgia. Reactogenicity was higher after the booster injection than the first injection but similar severity, time-to-onset, and duration. A single mRNA-1345 injection boosted RSV-A and RSV-B neutralizing antibody titers (nAb) and prefusion-F-binding antibody (preF-bAb) concentrations at 1-month (geometric mean-fold rises: RSV-A, 10.2-16.5; RSV-B, 5.3-12.5; preF-bAb, 7.2-12.1). RSV antibody levels remained above baseline through 12-months, indicating immune persistence. A 12-month booster injection also increased RSV-A and RSV-B nAb titers and preF-bAb concentrations; titers post-booster injection were numerically lower compared to titers after the first-dose, with overlapping 95% CIs. CONCLUSIONS: mRNA-1345 was well-tolerated and immunogenic following a single injection and a 12-month booster. TRIAL REGISTRATION: ClinicalTrials.gov, NCT04528719.",2024,"Feb-22","J Infect Dis",NA,"","",38385566,"10.1093/infdis/jiae081",NA,"#1143","Shaw 2024","Ainslie Hie (2025-02-28 16:12:02)(Included): extracted; ","Moderna; NCT number; Possible RCT; formulation taken forward to phase 3; immunogenicity; mRNA; older adults; product taken forward to phase 3;4_older_adults_immunogenicity",TRUE
"63","Safety, Tolerability and Immunogenicity of a mRNA-based RSV Vaccine in Healthy Young Adults in a Phase 1 Clinical Trial","Shaw, C. A.; Mithani, R.; Kapoor, A.; Dhar, R.; Wilson, L.; El Asmar, L.; Schnyder-Ghamloush, S.; Schaefers, K.; August, A.; Stoszek, S. K.; Chen, G. L.","BACKGROUND: Respiratory syncytial virus (RSV) presents a global health concern. A lipid nanoparticle-encapsulated mRNA-based RSV vaccine (mRNA-1345) encoding the membrane-anchored RSV prefusion stabilised F glycoprotein (preF) is under clinical investigation. METHODS: This phase 1, randomized, observer-blind, placebo-controlled dose escalation study assessed safety and immunogenicity of mRNA-1345 in healthy adults aged 18-49 years (NCT04528719). Participants were randomized to receive one dose of mRNA-1345 (50, 100, or 200â€…Âµg) or placebo, or 3 doses of mRNA-1345 (100â€…Âµg) or placebo 56 days apart. RESULTS: mRNA-1345 was well-tolerated at all dose levels. The most common solicited adverse reactions were pain, headache, fatigue, myalgia, or chills, which were all generally mild to moderate. A single injection of mRNA-1345 boosted RSV neutralizing antibody titers (geometric mean fold rise [GMFR]: RSV-A, 20.0 to 23.5; RSV-B, 11.7 to 16.0) and RSV preF binding antibody concentrations (GMFR: 16.1 to 21.8) at 1 month post injection, with no apparent dose response. Antibody levels remained above baseline through 6 months. Sequential doses of 100â€…Âµg were well tolerated but did not further boost antibody levels. CONCLUSIONS: A single mRNA-1345 injection demonstrated an acceptable safety profile in younger adults and induced a durable neutralizing antibody response, supporting its continued development.",2024,"Jan-31","J Infect Dis",NA,"","",38298125,"10.1093/infdis/jiae035",NA,"#1144","Shaw 2024","Ainslie Hie (2025-03-03 14:54:01)(Included): extracted; ","Moderna; NCT number; Possible RCT; formulation taken forward to phase 3; general adults; immunogenicity; mRNA; product taken forward to phase 3;3_general_adults_immunogenicity",TRUE
"64","Prefusion F Protein-Based Respiratory Syncytial Virus Immunization in Pregnancy","SimÃµes, E. A. F.; Center, K. J.; Tita, A. T. N.; Swanson, K. A.; Radley, D.; Houghton, J.; McGrory, S. B.; Gomme, E.; Anderson, M.; Roberts, J. P.; Scott, D. A.; Jansen, K. U.; Gruber, W. C.; Dormitzer, P. R.; Gurtman, A. C.","BACKGROUND: Respiratory syncytial virus (RSV), a major cause of illness and death in infants worldwide, could be prevented by vaccination during pregnancy. The efficacy, immunogenicity, and safety of a bivalent RSV prefusion F protein-based (RSVpreF) vaccine in pregnant women and their infants are uncertain. METHODS: In a phase 2b trial, we randomly assigned pregnant women, at 24 through 36 weeks' gestation, to receive either 120 or 240 Î¼g of RSVpreF vaccine (with or without aluminum hydroxide) or placebo. The trial included safety end points and immunogenicity end points that, in this interim analysis, included 50% titers of RSV A, B, and combined A/B neutralizing antibodies in maternal serum at delivery and in umbilical-cord blood, as well as maternal-to-infant transplacental transfer ratios. RESULTS: This planned interim analysis included 406 women and 403 infants; 327 women (80.5%) received RSVpreF vaccine. Most postvaccination reactions were mild to moderate; the incidence of local reactions was higher among women who received RSVpreF vaccine containing aluminum hydroxide than among those who received RSVpreF vaccine without aluminum hydroxide. The incidences of adverse events in the women and infants were similar in the vaccine and placebo groups; the type and frequency of these events were consistent with the background incidences among pregnant women and infants. The geometric mean ratios of 50% neutralizing titers between the infants of vaccine recipients and those of placebo recipients ranged from 9.7 to 11.7 among those with RSV A neutralizing antibodies and from 13.6 to 16.8 among those with RSV B neutralizing antibodies. Transplacental neutralizing antibody transfer ratios ranged from 1.41 to 2.10 and were higher with nonaluminum formulations than with aluminum formulations. Across the range of assessed gestational ages, infants of women who were immunized had similar titers in umbilical-cord blood and similar transplacental transfer ratios. CONCLUSIONS: RSVpreF vaccine elicited neutralizing antibody responses with efficient transplacental transfer and without evident safety concerns. (Funded by Pfizer; ClinicalTrials.gov number, NCT04032093.).",2022,"Apr-28","N Engl J Med",386,"17","1615-1626",35476650,"10.1056/NEJMoa2106062",NA,"#1157","SimÃµes 2022","","NCT number; Pfizer; Possible RCT; efficacy/effectiveness; females only; formulation taken forward to phase 3; immunogenicity; maternal; product taken forward to phase 3; protein subunit; â‰¤1 year;2_maternal_immunogenicity",TRUE
"65","Intranasal parainfluenza virus type 5 (PIV5)-vectored RSV vaccine is safe and immunogenic in healthy adults in a phase 1 clinical study","Spearman, P.; Jin, H.; Knopp, K.; Xiao, P.; Gingerich, M. C.; Kidd, J.; Singh, K.; Tellier, M.; Radziewicz, H.; Wu, S.; McGregor, M.; Freda, B.; Wang, Z.; John, S. P.; Villinger, F. J.; He, B.","Respiratory syncytial virus (RSV) can lead to serious disease in infants, and no approved RSV vaccine is available for infants. This first in-human clinical trial evaluated a single dose of BLB201, a PIV5-vectored RSV vaccine administrated via intranasal route, for safety and immunogenicity in RSV-seropositive healthy adults (33 to 75 years old). No severe adverse events (SAEs) were reported. Solicited local and systemic AEs were reported by <50% of participants and were mostly mild in intensity. Vaccine virus shedding was detected in 17% of participants. Nasal RSV-specific immunoglobulin A responses were detected in 48%, the highest level observed in adults among all intranasal RSV vaccines evaluated in humans. RSV-neutralizing antibodies titers in serum rose â‰¥1.5-fold. Peripheral blood RSV F-specific CD4(+) and CD8(+) T cells increased from â‰¤0.06% at baseline to â‰¥0.26 and 0.4% after vaccination, respectively, in >93% participants. The safety and immunogenicity profile of BLB201 in RSV-seropositive adults supports the further clinical development of BLB201.",2023,"Oct-27","Sci Adv",9,"43","eadj7611",37878713,"10.1126/sciadv.adj7611",NA,"#1183","Spearman 2023","","Blue Lake Biotechnology Inc; NCT number; Possible RCT; general adults; immunogenicity; older adults; product not taken forward to phase 3; viral vector;3_general_adults_immunogenicity;4_older_adults_immunogenicity",TRUE
"66","Phase 1/2a Safety and Immunogenicity of an Adenovirus 26 Vector Respiratory Syncytial Virus (RSV) Vaccine Encoding Prefusion F in Adults 18-50 Years and RSV-Seropositive Children 12-24 Months","Stuart, A. S. V.; Virta, M.; Williams, K.; Seppa, I.; Hartvickson, R.; Greenland, M.; Omoruyi, E.; Bastian, A. R.; Haazen, W.; Salisch, N.; Gymnopoulou, E.; Callendret, B.; Faust, S. N.; Snape, M. D.; Heijnen, E.","BACKGROUND: Respiratory syncytial virus (RSV) remains a leading cause of pediatric morbidity, with no approved vaccine. We assessed the safety and immunogenicity of the Ad26.RSV.preF vaccine candidate in adults and children. METHODS: In this randomized, double-blind, phase 1/2a, placebo-controlled study, 12 adults (18-50 years) and 36 RSV-seropositive children (12-24 months) were randomized 2:1 to Ad26.RSV.preF (1 Ã— 1011 viral particles [vp] for adults, 5 Ã— 1010 vp for children) or placebo, at day 1 and 29, with 6-month immunogenicity and 1-year safety follow-up. Respiratory syncytial virus infection was an exploratory outcome in children. RESULTS: In adults, solicited adverse events (AEs) were generally mild to moderate, with no serious AEs. In children, no vaccination-related serious AEs were reported; fever was reported in 14 (58.3%) Ad26.RSV.preF recipients. Baseline pediatric geometric mean titers for RSV A2 neutralization increased from 121 (95% confidence interval [CI], 76-191) to 1608 (95% CI, 730-3544) at day 29, and 2235 (95% CI, 1586-3150) at day 57, remaining elevated over 7 months. Respiratory syncytial virus infection was confirmed in fewer children receiving Ad26.RSV.preF (1, 4.2%) than placebo (5, 41.7%). CONCLUSIONS: Ad26.RSV.preF demonstrated immunogenicity in healthy adults and toddlers, with no safety concerns raised. Evaluations in RSV-seronegative children are underway.",2022,"Dec-28","J Infect Dis",227,"1","71-82",36259542,"10.1093/infdis/jiac407",NA,"#1203","Stuart 2022","","Janssen; NCT number; Possible RCT; general adults; immunogenicity; product not taken forward to phase 3; viral vector; â‰¤2 years;3_general_adults_immunogenicity",TRUE
"67","Immunogenicity and safety following one dose of AS01E-adjuvanted respiratory syncytial virus prefusion F protein vaccine in older adults: a phase 3 trial","F. Schwarz T; Hwang, S. J.; Ylisastigui, P.; Liu, C. S.; Takazawa, K.; Yono, M.; Ervin, J. E.; Andrews, C. P.; Fogarty, C.; Eckermann, T.; Collete, D.; de Heusch, M.; De Schrevel, N.; Salaun, B.; Lambert, A.; MarÃ©chal, C.; Olivier, A.; Nakanwagi, P.; Lievens, M.; HulstrÃ¸m, V.","BACKGROUND: The recently approved AS01E-adjuvanted respiratory syncytial virus (RSV) prefusion F protein-based vaccine (RSVPreF3 OA) demonstrated high efficacy against RSV-related disease in â‰¥60-year-olds. METHODS: This ongoing phase 3 study in â‰¥60-year-olds evaluates the immune persistence until three years post-RSVPreF3 OA vaccination. Here, we describe interim results on humoral and cell-mediated immunogenicity, reactogenicity, and safety until one year post-dose 1. RESULTS: In total, 1653 participants were vaccinated. One month post-dose 1, neutralization titers increased 10.5-fold (RSV-A) and 7.8-fold (RSV-B) versus pre-dose 1. Titers then declined to levels 4.4-fold (RSV-A) and 3.5-fold (RSV-B) above pre-dose 1 at month 6, and remained 3.1-fold (RSV-A) and 2.3-fold (RSV-B) above pre-dose 1 levels after one year. RSVPreF3-binding immunoglobulin G levels and CD4+ T-cell frequencies showed similar kinetics. Solicited administration-site and systemic adverse events (mostly mild to moderate and transient) were reported by 62.2% and 49.5% of participants. Serious adverse events were reported by 3.9% of participants within 6 months post-dose 1; one case was considered vaccine-related. CONCLUSIONS: One RSVPreF3 OA dose elicited cell-mediated and RSV-A and RSV-B-specific humoral immune responses that declined over time but remained above pre-dose 1 levels for at least one year. The vaccine was well tolerated with an acceptable safety profile.Clinicaltrials.gov NCT04732871.
Respiratory syncytial virus (RSV) is a major cause of illness and hospitalization in older adults. An RSV vaccine for older adults developed by GSK was recently approved. The vaccine was well tolerated and provided protection against RSV disease in adults aged 60 years and older during at least one RSV season. In this ongoing study, we are evaluating the magnitude and durability of the immune response, as well as vaccine safety, until three years after vaccination of adults aged 60 years and older from five countries. Here, we report the results of an interim analysis until one year after vaccination with one dose. In total, 1653 participants were vaccinated. We found that the vaccine induced a strong immune response that was evident one month after vaccination, after which it declined, but persisted for at least one year. Study participants most often reported pain at the injection site, muscle pain, tiredness, and headache as adverse reactions, which were mostly mild to moderate and of short duration. One serious adverse reaction was considered related to the vaccine. The long-term immune response that was observed in this study is consistent with the vaccine providing protection during at least one RSV season.
eng",2023,"Dec-14","J Infect Dis",NA,"","",38099559,"10.1093/infdis/jiad546",NA,"#1221","F 2023","Ainslie Hie (2025-05-14 18:46:10)(Included): Vax49 Schwarz; ","GSK; NCT number; Possible RCT; formulation taken forward to phase 3; immunogenicity; older adults; product taken forward to phase 3; protein subunit;4_older_adults_immunogenicity",TRUE
"68","A Randomized Phase 1/2 Study of a Respiratory Syncytial Virus Prefusion F Vaccine","Walsh, E. E.; Falsey, A. R.; Scott, D. A.; Gurtman, A.; Zareba, A. M.; Jansen, K. U.; Gruber, W. C.; Dormitzer, P. R.; Swanson, K. A.; Radley, D.; Gomme, E.; Cooper, D.; Schmoele-Thoma, B.","BACKGROUND: Protection against human respiratory syncytial virus (RSV) remains an unmet need potentially addressable by maternal immunization. This phase 1/2 study evaluated a bivalent prefusion F vaccine (RSVpreF) with antigens from RSV subgroups A and B. METHODS: Adults 18-49 years old (Nâ€…=â€…618) were randomized to receive placebo or 60, 120, or 240 Âµg RSVpreF with or without Al(OH)3. Safety and immunogenicity were evaluated. RESULTS: RSVpreF recipients more frequently reported local reactions and systemic events than placebo recipients; these were mostly mild or moderate. No vaccine-related serious adverse events occurred through 12 months postvaccination. All RSVpreF formulations induced 1-month postvaccination virus-neutralizing titers higher than those associated with protection of high-risk infants by palivizumab, the only prophylactic currently available for RSV. Geometric mean fold rises (GMFRs) across RSVpreF doses/formulations were 10.6-16.9 for RSV A and 10.3-19.8 for RSV B at 1 month postvaccination, greater than those historically elicited by postfusion F vaccines. GMFRs were 3.9-5.2 and 3.7-5.1, respectively, at 12 months postvaccination. CONCLUSIONS: RSVpreF formulations were safe, well tolerated, and induced robust neutralizing responses in adults. These findings support development of RSVpreF, which is being evaluated in a pivotal phase 3 study for maternal immunization. CLINICAL TRIALS REGISTRATION: NCT03529773.",2022,"Apr-19","J Infect Dis",225,"8","1357-1366",34932102,"10.1093/infdis/jiab612",NA,"#1322","Walsh 2022","Ainslie Hie (2025-03-10 14:57:38)(Included): Reports repeat data (VAX40); ","NCT number; Pfizer; Possible RCT; formulation taken forward to phase 3; general adults; immunogenicity; product taken forward to phase 3; protein subunit;3_general_adults_immunogenicity",TRUE
"69","Respiratory Syncytial Virus Prefusion F Vaccination: Antibody Persistence and Revaccination","Walsh, E. E.; Falsey, A. R.; Zareba, A. M.; Jiang, Q.; Gurtman, A.; Radley, D.; Gomme, E.; Cooper, D.; Jansen, K. U.; Gruber, W. C.; Swanson, K. A.; Schmoele-Thoma, B.","BACKGROUND: Respiratory syncytial virus (RSV) causes substantial respiratory disease. Bivalent RSV prefusion F (RSVpreF) vaccine is licensed in â‰¥60-year-olds. RSVpreF was well-tolerated and immunogenic in a phase 1/2 study. We evaluated antibody persistence after initial vaccination and safety and immunogenicity after revaccination from this study. METHODS: Healthy adults were randomized to receive both initial vaccination and revaccination 12 months later with either placebo or RSVpreF 240 Âµg (Â±Al(OH)3). RSV-A and RSV-B geometric mean neutralizing titers (GMTs) were measured through 12 months after both vaccinations. Tolerability/safety was assessed. RESULTS: There were 263 participants revaccinated (18-49-years-old, n=134; 65-85-years-old, n=129). Among 18-49-year-olds and 65-85-year-olds, respectively, geometric mean fold rises (GMFRs) for both RSV subgroups (RSV-A; RSV-B) 1 month after initial RSVpreF vaccination were 13.3-20.4 and 8.9-15.5 compared with levels before initial vaccination; corresponding GMFRs 12 months after initial vaccination were 4.1-5.0 and 2.6-4.1. GMFRs 1 month after revaccination compared with levels before revaccination were 1.4-2.3 and 1.4-2.2 for 18-49-year-olds and 65-85-year-olds, respectively. Peak GMTs after revaccination were lower than those after initial vaccination. GMTs 12 months after initial vaccination and revaccination were similar, with GMFRs ranging from 0.7-1.6. No safety signals occurred. CONCLUSIONS: RSVpreF revaccination was immunogenic and well-tolerated among adults. NCT03529773.",2024,"Apr-12","J Infect Dis",NA,"","",38606958,"10.1093/infdis/jiae185",NA,"#1324","Walsh 2024","","NCT number; Pfizer; Possible RCT; general adults; immunogenicity; older adults; product taken forward to phase 3; protein subunit;3_general_adults_immunogenicity;4_older_adults_immunogenicity",TRUE
